ISP,State-Reporting,Enrollment-Free and Reduced,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,NCES ID,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Meals-Paid,Lunch Meals-Paid,Enrollment-Paid,Enrollment-Total,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),CEP (Y/N),School Type-Original,School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,County,State-Physical,School Name,School ID,School Year,District ID,District Name,Operating Days-Breakfast Only,Operating Days-Lunch Only,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Lunch Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Reduced
,AR,,,,,,,,,,,,,,430,,,AR@000@6040-000,241.005319149,45309,274.712765957,51646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6040-000,ACADEMIC PLUS SD,188,188,323,107,37592,41385,7717,10261
,AR,,,,,,,,,,,,,,1807,,,AR@000@1701-000,911.883977901,165051,1091.419889503,197547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1701-000,ALMA SD,181,181,1390,417,132707,163336,32344,34211
,AR,,,,,,,,,,,,,,409,,,AR@000@0501-000,181.659090909,31972,245.852272727,43270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0501-000,ALPENA SD,176,176,327,82,28180,37200,3792,6070
,AR,,,,,,,,,,,,,,72,,,AR@000@6091-000,28.491525424,5043,47.902857143,8383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6091-000,AR SCHOOL F/T BLIND SD,177,175,66,6,4737,7742,306,641
,AR,,,,,,,,,,,,,,100,,,AR@000@6092-000,48.636363636,8560,59.375,10450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6092-000,AR SCHOOL F/T DEAF SD,176,176,78,22,6865,8312,1695,2138
,AR,,,,,,,,,,,,,,1121,,,AR@000@1002-000,494.275280899,87981,707.382022472,125914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1002-000,ARKADELPHIA SD,178,178,896,225,74603,106244,13378,19670
,AR,,,,,,,,,,,,,,305,,,AR@000@0440-000,69.124293785,12235,195.333333333,34574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0440-000,ARKANSAS ARTS ACADEMY SD,177,177,235,70,10147,27852,2088,6722
,AR,,,,,,,,,,,,,,222,,,AR@000@4701-000,73.090909091,12864,126.5,22264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4701-000,ARMOREL SD,176,176,156,66,10100,16987,2764,5277
,AR,,,,,,,,,,,,,,1133,,,AR@000@4101-000,366.140449438,65173,631.971910112,112491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4101-000,ASHDOWN SD,178,178,973,160,58382,98768,6791,13723
,AR,,,,,,,,,,,,,,753,,,AR@000@5801-000,275.674157303,49070,522.949438202,93085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5801-000,ATKINS SD,178,178,625,128,41669,77315,7401,15770
,AR,,,,,,,,,,,,,,428,,,AR@000@7401-000,238.102857143,41668,322.84,56497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7401-000,AUGUSTA SD,175,175,428,0,41668,56497,0,0
,AR,,,,,,,,,,,,,,903,,,AR@000@7301-000,293.146067416,52180,537.702247191,95711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7301-000,BALD KNOB SD,178,178,728,175,43553,80611,8627,15100
,AR,,,,,,,,,,,,,,648,,,AR@000@5401-000,189.494382022,33730,453.028089888,80639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5401-000,BARTON-LEXA SD,178,178,648,0,33730,80639,0,0
,AR,,,,,,,,,,,,,,1982,,,AR@000@3201-000,698.502590674,134811,1240.264248705,239371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,3201-000,BATESVILLE SD,193,193,1671,311,118531,208532,16280,30839
,AR,,,,,,,,,,,,,,969,,,AR@000@6301-000,370.106741573,65879,439.320224719,78199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6301-000,BAUXITE SD,178,178,733,236,53707,63673,12172,14526
,AR,,,,,,,,,,,,,,418,,,AR@000@1601-000,162.040462428,28033,269.255813953,46312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1601-000,BAY SD,173,172,300,118,20968,33744,7065,12568
,AR,,,,,,,,,,,,,,346,,,AR@000@5201-000,241.182320442,43654,259.856353591,47034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5201-000,BEARDEN SD,181,181,301,45,37815,41232,5839,5802
,AR,,,,,,,,,,,,,,2153,,,AR@000@7302-000,785.841807910,139094,1217.610169492,215517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7302-000,BEEBE SD,177,177,1719,434,117295,178573,21799,36944
,AR,,,,,,,,,,,,,,2523,,,AR@000@6302-000,912.632768362,161536,1577.615819209,279238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6302-000,BENTON SD,177,177,2009,514,135847,230093,25689,49145
,AR,,,,,,,,,,,,,,4589,,,AR@000@0401-000,1235,219830,2900.640449438,516314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0401-000,BENTONVILLE SD,178,178,3388,1201,174828,391079,45002,125235
,AR,,,,,,,,,,,,,,785,,,AR@000@0502-000,466.920454545,82178,541.465909091,95298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0502-000,BERGMAN SD,176,176,644,141,69598,79851,12580,15447
,AR,,,,,,,,,,,,,,1373,,,AR@000@0801-000,601.079096045,106391,1068.316384181,189092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0801-000,BERRYVILLE SD,177,177,1113,260,91963,156985,14428,32107
,AR,,,,,,,,,,,,,,748,,,AR@000@3001-000,204.679775281,36433,491.174157303,87429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,3001-000,BISMARCK SD,178,178,589,159,31539,70667,4894,16762
,AR,,,,,,,,,,,,,,462,,,AR@000@2901-000,185.220338983,32784,297.084745763,52584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,2901-000,BLEVINS SD,177,177,396,66,27898,45008,4886,7576
,AR,,,,,,,,,,,,,,2097,,,AR@000@4702-000,1164.404624277,201442,1542.520231214,266856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4702-000,BLYTHEVILLE SD,173,173,2097,0,201442,266856,0,0
,AR,,,,,,,,,,,,,,924,,,AR@000@4201-000,347.730337079,61896,679.589887640,120967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4201-000,BOONEVILLE SD,178,178,924,0,61896,120967,0,0
,AR,,,,,,,,,,,,,,383,,,AR@000@7303-000,187.267045455,32959,302.409090909,53224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7303-000,BRADFORD SD,176,176,383,0,32959,53224,0,0
,AR,,,,,,,,,,,,,,438,,,AR@000@4801-000,269.893258427,48041,361,64258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4801-000,BRINKLEY SD,178,178,438,0,48041,64258,0,0
,AR,,,,,,,,,,,,,,1174,,,AR@000@1603-000,424.573033708,75574,586.629213483,104420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1603-000,BROOKLAND SD,178,178,893,281,61537,82847,14037,21573
,AR,,,,,,,,,,,,,,4768,,,AR@000@6303-000,1312.214689266,232262,2688.384180791,475844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6303-000,BRYANT SD,177,177,3922,846,199006,398793,33256,77051
,AR,,,,,,,,,,,,,,579,,,AR@000@1605-000,160.039800995,32168,273.611940299,54996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1605-000,BUFFALO ISLAND CENTRAL SD,201,201,459,120,27226,44284,4942,10712
,AR,,,,,,,,,,,,,,4600,,,AR@000@4304-000,1609.779005525,291370,3173.834254144,574464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4304-000,CABOT SD,181,181,3505,1095,231534,446640,59836,127824
,AR,,,,,,,,,,,,,,511,,,AR@000@4901-000,239.235955056,42584,360.915730337,64243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4901-000,CADDO HILLS SD,178,178,424,87,35950,53842,6634,10401
,AR,,,,,,,,,,,,,,280,,,AR@000@3301-000,105.073033708,18703,179.921348315,32026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,3301-000,CALICO ROCK,178,178,222,58,15598,25785,3105,6241
,AR,,,,,,,,,,,,,,2167,,,AR@000@5204-000,917.820224719,163372,1383.629213483,246286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5204-000,CAMDEN FAIRVIEW SD,178,178,1964,203,152093,228238,11279,18048
,AR,,,,,,,,,,,,,,442,,,AR@000@4303-000,169.531073446,30007,323.005649718,57172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4303-000,CARLISLE SD,177,177,389,53,27906,52103,2101,5069
,AR,,,,,,,,,,,,,,1035,,,AR@000@6802-000,416.824858757,73778,691.525423729,122400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6802-000,CAVE CITY SD,177,177,824,211,60837,97770,12941,24630
,AR,,,,,,,,,,,,,,764,,,AR@000@3212-000,204.601123596,36419,318.331460674,56663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,3212-000,CEDAR RIDGE SD,178,178,764,0,36419,56663,0,0
,AR,,,,,,,,,,,,,,588,,,AR@000@1702-000,265.882022472,47327,419.516853933,74674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1702-000,CEDARVILLE SD,178,178,458,130,38237,59071,9090,15603
,AR,,,,,,,,,,,,,,849,,,AR@000@5502-000,325.779661017,57663,501.435028249,88754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5502-000,CENTERPOINT SD,177,177,664,185,47118,72831,10545,15923
,AR,,,,,,,,,,,,,,522,,,AR@000@2402-000,230.887640449,41098,324.792134831,57813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,2402-000,CHARLESTON SD,178,178,426,96,37697,50083,3401,7730
,AR,,,,,,,,,,,,,,120,,,AR@000@6044-000,39.053571429,4374,105.705357143,11839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6044-000,CITY OF FIRE COMM DEV. SD,112,112,114,6,4356,11819,18,20
,AR,,,,,,,,,,,,,,472,,,AR@000@4802-000,186.670454545,32854,337.028409091,59317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4802-000,CLARENDON SD,176,176,472,0,32854,59317,0,0
,AR,,,,,,,,,,,,,,1941,,,AR@000@3601-000,674.531073446,119392,1260.197740113,223055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,3601-000,CLARKSVILLE SD,177,177,1654,287,108247,194780,11145,28275
,AR,,,,,,,,,,,,,,608,,,AR@000@1305-000,257.702857143,45098,404.880681818,71259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1305-000,CLEVELAND COUNTY SD,175,176,555,53,43054,66414,2044,4845
,AR,,,,,,,,,,,,,,1404,,,AR@000@7102-000,296.393258427,52758,691.977528090,123172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7102-000,CLINTON SD,178,178,1404,0,52758,123172,0,0
,AR,,,,,,,,,,,,,,334,,,AR@000@6049-000,146.172588832,28796,202.690355330,39930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6049-000,"COLLEGIATE CHOICES, INC.",197,197,334,0,28796,39930,0,0
,AR,,,,,,,,,,,,,,439,,,AR@000@1201-000,163.568181818,28788,212.903409091,37471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1201-000,CONCORD SD,176,176,355,84,24331,31061,4457,6410
,AR,,,,,,,,,,,,,,8337,,,AR@000@2301-000,2479.857923497,453814,4120.437158470,754040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,2301-000,CONWAY SD,183,183,7386,951,399358,646052,54456,107988
,AR,,,,,,,,,,,,,,726,,,AR@000@1101-000,323.517045455,56939,451.698863636,79499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1101-000,CORNING SD,176,176,557,169,45511,61898,11428,17601
,AR,,,,,,,,,,,,,,805,,,AR@000@5707-000,528.845714286,92548,639.954285714,111992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5707-000,COSSATOT RIVER SD,175,175,662,143,75721,91616,16827,20376
,AR,,,,,,,,,,,,,,790,,,AR@000@0302-000,273.870056497,48475,392.135593220,69408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0302-000,COTTER SD,177,177,790,0,48475,69408,0,0
,AR,,,,,,,,,,,,,,339,,,AR@000@2403-000,198.606741573,35352,252.432584270,44933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,2403-000,COUNTY LINE SD,178,178,285,54,31378,38667,3974,6266
,AR,,,,,,,,,,,,,,613,,,AR@000@1901-000,285.344632768,50506,326.774011299,57839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1901-000,CROSS COUNTY SD,177,177,613,0,50506,57839,0,0
,AR,,,,,,,,,,,,,,1202,,,AR@000@0201-000,500.738636364,88130,813.397727273,143158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0201-000,CROSSETT SD,176,176,1077,125,80911,130458,7219,12700
,AR,,,,,,,,,,,,,,486,,,AR@000@2601-000,250.121546961,45272,308.535911602,55845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,2601-000,CUTTER-MORNING STAR SD,181,181,393,93,39029,48265,6243,7580
,AR,,,,,,,,,,,,,,738,,,AR@000@7503-000,384.382022472,68420,511.286516854,91009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7503-000,DANVILLE SD,178,178,651,87,62596,82009,5824,9000
,AR,,,,,,,,,,,,,,1572,,,AR@000@7504-000,709.084269663,126217,1104.977528090,196686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7504-000,DARDANELLE SD,178,178,1241,331,105802,163042,20415,33644
,AR,,,,,,,,,,,,,,2089,,,AR@000@6701-000,833.393258427,148344,1507.971910112,268419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6701-000,DE QUEEN SD,178,178,1856,233,135579,240861,12765,27558
,AR,,,,,,,,,,,,,,1217,,,AR@000@0402-000,305.977401130,54158,383.175141243,67822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0402-000,DECATUR SD,177,177,622,595,54158,67822,0,0
,AR,,,,,,,,,,,,,,340,,,AR@000@5106-000,161.227027027,29827,180.097297297,33318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5106-000,DEER/MT. JUDEA SD,185,185,279,61,24650,27361,5177,5957
,AR,,,,,,,,,,,,,,337,,,AR@000@0901-000,190.615819209,33739,270.401129944,47861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0901-000,DERMOTT SD,177,177,337,0,33739,47861,0,0
,AR,,,,,,,,,,,,,,466,,,AR@000@5901-000,195.955056180,34880,296.977528090,52862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5901-000,DES ARC SD,178,178,373,93,28246,42530,6634,10332
,AR,,,,,,,,,,,,,,1040,,,AR@000@0101-000,306.983146067,54643,596.432584270,106165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0101-000,DEWITT SD,178,178,887,153,49724,91280,4919,14885
,AR,,,,,,,,,,,,,,434,,,AR@000@3102-000,196.471910112,34972,312.719101124,55664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,3102-000,DIERKS SD,178,178,366,68,31363,49055,3609,6609
,AR,,,,,,,,,,,,,,1063,,,AR@000@3502-000,577.629213483,102818,803.146067416,142960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,3502-000,DOLLARWAY SD,178,178,1063,0,102818,142960,0,0
,AR,,,,,,,,,,,,,,936,,,AR@000@5802-000,533.179775281,94906,690.466292135,122903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5802-000,DOVER SD,178,178,691,245,70992,91208,23914,31695
,AR,,,,,,,,,,,,,,897,,,AR@000@2202-000,596.338983051,105552,596.282485876,105542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,2202-000,DREW CENTRAL SD,177,177,897,0,105552,105542,0,0
,AR,,,,,,,,,,,,,,1202,,,AR@000@2104-000,472.044943820,84024,748.016853933,133147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,2104-000,DUMAS SD,178,178,1122,80,80272,125923,3752,7224
,AR,,,,,,,,,,,,,,553,,,AR@000@1802-000,443.583333333,79845,489.311111111,88076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1802-000,EARLE SD,180,180,553,0,79845,88076,0,0
,AR,,,,,,,,,,,,,,458,,,AR@000@5301-000,315.802259887,55897,283.271186441,50139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5301-000,EAST END SD,177,177,352,106,44826,40892,11071,9247
,AR,,,,,,,,,,,,,,624,,,AR@000@5608-000,275.831460674,49098,381.028089888,67823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5608-000,EAST POINSETT COUNTY SD,178,178,511,113,41464,56351,7634,11472
,AR,,,,,,,,,,,,,,2880,,,AR@000@7001-000,1592.747191011,283509,2036.561797753,362508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7001-000,EL DORADO SD,178,178,2600,280,279077,347474,4432,15034
,AR,,,,,,,,,,,,,,783,,,AR@000@7201-000,342.179775281,60908,462.129213483,82259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7201-000,ELKINS SD,178,178,559,224,45910,59706,14998,22553
,AR,,,,,,,,,,,,,,529,,,AR@000@1408-000,200.728813559,35529,375.033898305,66381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1408-000,EMERSON-TAYLOR- BRADLEY SD,177,177,435,94,31736,57514,3793,8867
,AR,,,,,,,,,,,,,,771,,,AR@000@4302-000,166.902298851,29041,373.062857143,65286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4302-000,ENGLAND SD,174,175,771,0,29041,65286,0,0
,AR,,,,,,,,,,,,,,1707,,,AR@000@6047-000,236.575268817,44003,563.868421053,107135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6047-000,ESTEM PUB CHAR SD,186,190,1313,394,35119,85764,8884,21371
,AR,,,,,,,,,,,,,,476,,,AR@000@0802-000,184.698863636,32507,276.732954545,48705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0802-000,EUREKA SPRINGS SD,176,176,385,91,27744,40606,4763,8099
,AR,,,,,,,,,,,,,,322,,,AR@000@6055-000,191.775510204,37588,261.668367347,51287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6055-000,EXALT ACADEMY SD,196,196,322,0,37588,51287,0,0
,AR,,,,,,,,,,,,,,1021,,,AR@000@7202-000,320.401129944,56711,613.186440678,108534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7202-000,FARMINGTON SD,177,177,779,242,46429,85470,10282,23064
